Sample	ampicillin	amoxicillin-clavulanic_acid	amikacin	cefazolin	cefalotin	ciprofloxacin	cefixime	ceftazidime	gentamicin_C	meropenem	nitrofurantoin	piperacillin-tazobactam	tetracycline	tobramycin	trimethoprim-sulfamethoxazole	cefoxitin	ceftriaxone	ertapenem
C0001	R	I	S	R	R	R	R	R	R	S	S	S	R	S	R	R	R	S
C0002	R	R	S	R	R	R	R	R	R	S	S	S	R	R	R	R	R	S
C0003	R	I	S	R	R	R	R	R	R	S	S	S	R	I	R	I	R	S
C0004	R	I	S	R	R	R	R	R	S	S	S	I	R	S	R	I	R	S
C0005	R	R	S	R	R	S	R	R	S	RA	S	R	S	S	S	R	R	R
C0008	R	S	S	R	R	R	R	RA	S	S	S	S	R	S	R	S	R	S
C0011	R	R	S	R	R	R	R	R	R	S	S	S	R	R	R	S	R	S
C0012	R	S	S	R	R	R	R	RA	S	S	S	S	R	S	R	S	R	S
C0013	R	S	S	R	R	R	R	RA	S	S	S	S	S	S	S	S	R	S
C0014	R	S	S	R	R	R	R	R	S	S	S	S	R	S	R	S	R	S
C0025	R	R	S	R	R	R	R	R	S	S	S	R	S	R	R	S	R	S
C0087	R	S	S	R	R	R	R	RA	R	S	S	S	S	S	S	S	R	S
C0093	R	R	S	R	R	R	R	R	R	S	S	I	R	R	R	S	R	S
C0094	R	R	S	R	R	R	R	R	R	S	S	R	R	R	R	S	R	S
C0104	R	R	S	R	R	R	R	R	S	S	S	S	R	S	R	S	R	S
C0105	R	I	S	S	R	R	S	S	R	S	S	S	R	I	R	S	S	S
C0144	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0145	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0146	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0152	R	S	S	S	I	S	S	S	S	S	S	S	R	S	R	S	S	S
C0173	R	S	S	R	R	R	R	RA	S	S	S	S	R	S	R	S	R	S
C0183	R	I	S	R	R	S	R	R	R	S	S	S	R	I	R	S	R	S
C0184	R	I	S	R	R	S	R	R	R	S	S	S	R	I	R	S	R	S
C0193	R	S	S	R	R	R	R	RA	S	S	S	S	S	S	S	I	R	S
C0194	R	I	S	S	R	R	S	S	R	S	R	S	R	S	R	S	S	S
C0208	S	S	S	S	I	I	S	S	S	S	S	S	R	S	R	S	S	S
C0209	R	S	S	R	R	R	R	RA	S	S	S	S	R	S	R	S	R	S
C0217	R	S	S	S	I	R	S	S	S	S	S	S	S	S	S	S	S	S
C0218	R	R	S	S	I	S	S	S	S	S	S	R	S	S	R	S	S	S
C0219	R	S	S	R	R	R	R	RA	S	S	S	S	S	S	R	S	R	S
C0239	R	S	S	S	R	R	S	S	S	S	S	S	R	S	R	S	S	S
C0240	R	S	S	S	R	S	S	S	R	S	S	S	R	I	R	S	S	S
C0241	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
C0242	R	S	S	S	I	R	S	S	R	S	S	S	S	I	S	S	S	S
C0243	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0244	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0251	R	I	S	R	R	R	R	R	S	S	I	S	R	R	R	S	R	S
C0269	R	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0270	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S
C0279	R	R	S	R	R	R	R	R	S	S	S	S	R	R	R	R	R	S
C0288	R	I	S	R	R	R	R	R	R	S	S	S	R	R	S	S	R	S
C0289	R	R	S	R	R	R	R	R	S	S	S	S	R	S	R	R	R	S
C0300	R	S	S	S	I	R	S	S	S	S	S	S	R	S	R	S	S	S
C0301	R	I	S	R	R	R	R	RA	S	S	R	I	S	S	S	R	RA	S
C0320	R	I	S	R	R	R	R	R	R	S	S	S	S	R	S	S	R	S
C0321	R	R	S	R	R	S	R	RA	S	S	S	S	S	S	S	R	R	S
C0322	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S
C0328	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0329	R	I	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0330	R	S	S	S	S	S	S	S	S	S	S	S	R	S	R	S	S	S
C0331	S	S	S	S	S	R	S	S	S	S	S	S	R	S	R	S	S	S
C0339	R	R	S	R	R	R	R	RA	S	S	S	S	R	R	R	S	R	S
C0340	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0341	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
C0349	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0350	R	S	S	S	R	R	S	S	S	S	S	S	S	S	R	I	S	S
C0351	R	S	S	S	I	S	S	S	S	S	S	S	S	S	R	S	S	S
C0352	R	R	S	R	R	S	S	S	S	S	S	I	S	S	S	S	S	S
C0358	R	S	S	S	I	S	S	S	S	S	S	S	R	S	R	S	S	S
C0369	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
C0370	R	S	S	S	R	R	S	S	R	S	S	S	S	I	S	S	S	S
C0371	R	I	S	R	R	R	R	R	S	S	S	S	S	S	S	S	R	S
C0380	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0381	R	S	S	S	I	S	S	S	S	S	S	S	R	S	R	S	S	S
C0382	S	S	S	S	I	S	S	S	S	S	S	S	R	S	S	S	S	S
C0384	R	R	S	R	R	R	R	R	S	S	R	I	R	S	R	R	R	S
C0385	R	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0394	RA	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0395	S	S	S	S	S	S	S	S	S	S	I	S	S	S	R	S	S	S
C0396	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0402	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
C0403	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0404	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0405	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0406	R	I	S	R	R	R	R	R	R	S	S	S	R	R	R	I	R	S
C0417	R	S	S	R	R	R	R	R	S	S	S	S	S	S	S	S	R	S
C0418	R	R	S	R	R	S	S	S	S	S	S	R	S	S	S	S	S	S
C0427	R	S	S	S	I	R	S	S	S	S	S	S	R	S	S	S	S	S
C0428	S	S	S	S	I	R	S	S	S	S	S	S	S	S	S	S	S	S
C0429	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0437	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0438	R	S	S	S	R	R	S	S	S	S	S	S	S	S	S	R	S	S
C0439	R	R	S	R	R	S	S	S	S	S	S	I	S	S	R	S	S	S
C0440	R	R	S	R	R	R	R	RA	S	S	S	R	R	R	R	I	R	S
C0450	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0451	R	S	S	S	I	R	S	S	S	S	S	S	R	S	R	S	S	S
C0452	R	S	S	R	R	R	R	RA	S	S	S	S	R	S	R	S	R	S
C0460	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
C0461	R	S	S	S	I	R	S	S	S	S	S	S	S	S	R	S	S	S
C0462	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0472	R	R	S	R	R	R	R	R	R	S	R	S	S	R	S	R	R	S
C0473	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0474	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	S	S
C0475	I	S	S	S	I	I	S	S	S	S	S	S	S	S	S	I	S	S
C0476	R	S	S	S	I	S	S	S	R	S	S	S	S	S	S	S	S	S
C0477	R	R	S	R	R	R	R	R	R	S	S	R	R	R	R	I	R	S
C0478	R	I	S	S	R	S	S	S	S	S	S	I	S	S	S	S	S	S
C0483	R	I	S	I	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0484	R	S	S	S	S	S	S	S	S	S	S	S	R	S	R	S	S	S
C0485	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0594	R	R	S	R	R	R	R	R	R	S	S	S	R	R	R	I	R	S
C0596	R	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0597	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0611	R	R	S	R	R	R	R	R	S	RA	S	R	S	R	R	RA	R	R
C0615	R	S	S	R	R	S	R	RA	S	S	S	S	R	S	R	S	R	S
C0616	R	R	S	R	R	R	R	R	R	S	R	I	S	R	S	I	R	S
C0627	R	S	S	R	R	R	R	RA	S	S	S	S	S	S	R	S	R	S
C0628	R	R	S	R	R	R	R	RA	S	S	S	S	R	S	R	R	RA	S
C0634	R	S	S	R	R	S	RA	RA	S	S	S	S	S	S	S	S	R	S
C0644	R	R	S	R	R	R	S	S	S	S	S	R	R	S	R	R	S	R
C0647	R	R	R	R	R	R	R	R	R	RA	S	R	R	R	R	R	R	R
C0648	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
C0649	R	S	S	R	R	R	R	R	S	S	S	S	S	S	S	S	R	S
C0655	R	I	S	R	R	R	RA	RA	S	S	S	S	R	S	S	S	R	S
C0656	R	R	S	R	R	R	R	R	R	S	S	S	R	R	S	S	R	S